author,date,push,title,url
missucrystal,10/20,45,[問卦] 35歲要有怎樣的資產才算及格,/bbs/Gossiping/M.1666276231.A.4B8.html
yu1164,10/20,5,[新聞] 一般大學生畢業生可報考國防法務官 以軍,/bbs/Gossiping/M.1666272087.A.0B4.html
oylq2000,10/20,5,[問卦] 有沒有博愛座凸顯人性的八卦？,/bbs/Gossiping/M.1666272370.A.903.html
dabalax,10/20,7,[問卦] 在日本吃素會餓死嗎?,/bbs/Gossiping/M.1666272536.A.473.html
ai770116,10/20,14,Re: [新聞] 黑白配質疑 柯文哲會鍾東錦強調分享經驗,/bbs/Gossiping/M.1666272587.A.763.html
q2520q,10/20,36,[問卦] 租屋處突然出現的低頻噪音到底是三小==,/bbs/Gossiping/M.1666272593.A.343.html
Helloyou5566,10/20,1,Re: [問卦] 如果一般人有血輪眼要怎摸辦QQ,/bbs/Gossiping/M.1666272614.A.B3F.html
createlight,10/20,34,[新聞] 習近平比肩毛澤東 「人民領袖」頭銜公開,/bbs/Gossiping/M.1666272649.A.AB7.html
saiulbb,10/20,3,[新聞] 美媒：祖克柏應卸任 Meta CEO，自開公司搞元宇宙,/bbs/Gossiping/M.1666272699.A.5FC.html
rich22084,10/20,2,Re: [問卦] 有沒有博愛座凸顯人性的八卦？,/bbs/Gossiping/M.1666272708.A.DD9.html
todao,10/20,2,Re: [問卦] 有沒有博愛座凸顯人性的八卦？,/bbs/Gossiping/M.1666272769.A.0C9.html
dk27go,10/20,4,[問卦] 間歇性斷食斷個幾天正常一兩天?,/bbs/Gossiping/M.1666272828.A.39A.html
sakeya,10/20,1,[問卦] 等一下韓式鍋貼是不是會大賣阿,/bbs/Gossiping/M.1666272867.A.B6D.html
lovekiqoo,10/20,1,[問卦] 女同事對我大聲說話這樣有機會嗎,/bbs/Gossiping/M.1666273094.A.8AA.html
diedo,10/20,7,Re: [問卦] 中國人現在都不用戴口罩了?!,/bbs/Gossiping/M.1666273133.A.98F.html
lucifiel1618,10/20,5,[問卦] 特列斯被趕下台了？,/bbs/Gossiping/M.1666273290.A.B3D.html
qwer1988,10/20,87,[問卦] 為何LG冷氣 在台灣市場始終被日系壓著打,/bbs/Gossiping/M.1666273368.A.0C2.html
Pietro,10/20,25,Re: [爆卦] 特拉斯辭職了,/bbs/Gossiping/M.1666273495.A.B0A.html
exceed,10/20,6,Re: [問卦] meowptt是不是快要幹掉moptt了???,/bbs/Gossiping/M.1666273531.A.72B.html
hmt17,10/20,1,[新聞] 時隔5年再合體演前妻 王宇婕激動打謝祖武,/bbs/Gossiping/M.1666276309.A.FC0.html
words2012,10/20,5,Re: [新聞] 黑白配質疑 柯文哲會鍾東錦強調分享經驗,/bbs/Gossiping/M.1666276518.A.E6E.html
ai770116,10/20,6,[問卦] 烏克蘭貝娜適合演偶像劇嗎？,/bbs/Gossiping/M.1666276612.A.473.html
badjye911,10/20,1,[問卦] 台灣黑道現在還有義氣嗎？,/bbs/Gossiping/M.1666276639.A.808.html
taipei5566,10/20,4,[問卦] 台男的工作權正在被剝奪嗎,/bbs/Gossiping/M.1666276648.A.867.html
lightwish,10/20,7,[新聞] 傳中共禁向歐洲轉售天然氣 歐倡議少依賴,/bbs/Gossiping/M.1666276808.A.F7B.html
chen18,10/20,2,[問卦] 綁頭髮動作and腋下的吸引力！？,/bbs/Gossiping/M.1666276935.A.C5D.html
gn01982027,10/20,6,[問卦] 十八層地獄怎沒有盜覽趴？/,/bbs/Gossiping/M.1666277013.A.E9B.html
pulagu,10/20,3,[新聞] 俄媒：俄烏戰後 中國晶片故障率高達四成,/bbs/Gossiping/M.1666277091.A.F33.html
antonny,10/20,3,[問卦] 交通那麼爛怎麼敢買車？,/bbs/Gossiping/M.1666277182.A.CEF.html
phantasystar,10/20,6,[問卦] 開偵探事務所要注意什麼,/bbs/Gossiping/M.1666277194.A.D01.html
ruthertw,10/20,1,[問卦] 有沒有鬼島女已經很懂吃乾抹淨的藝術?,/bbs/Gossiping/M.1666277200.A.534.html
nicolaschen2,10/20,爆,[問卦] 資策會之後還收得到人才嗎？,/bbs/Gossiping/M.1666277301.A.D93.html
cjol,10/20,8,[新聞] 習近平二十大稱不放棄武力統一 CNN : 若,/bbs/Gossiping/M.1666277478.A.F19.html
gve50714,10/20,2,[新聞] Sony Xperia 1 IV電競特仕版在台上市破,/bbs/Gossiping/M.1666277562.A.E07.html
indoman,10/20,1,[問卦] 讓韓國輸那麼難嗎,/bbs/Gossiping/M.1666277572.A.84E.html
askaleroux,10/20,3,[問卦] 外拍圈裡面是不是一堆嬯啊,/bbs/Gossiping/M.1666269747.A.D1D.html
waymayday,10/20,4,[問卦] 黑道：善良是一種選擇,/bbs/Gossiping/M.1666269757.A.6D6.html
CLOSED,10/20,3,Re: [問卦] 我就問，共軍怎麼登陸,/bbs/Gossiping/M.1666269846.A.019.html
t20056,10/20,17,[問卦] 中共黨員為何要投票給習近平?,/bbs/Gossiping/M.1666269919.A.B4D.html
zxcelephant,10/20,63,[新聞] 影／資策會兼職風波 高虹安臉書秀關鍵照,/bbs/Gossiping/M.1666269970.A.C48.html
ezJapan,10/20,6,[問卦] 魚頭到底有什麼好吃的?,/bbs/Gossiping/M.1666269998.A.BB8.html
jim12441,10/20,18,[問卦] 星艦戰將洗澡有什麼魅力,/bbs/Gossiping/M.1666270000.A.E34.html
EmeraldAZ,10/20,1,[問卦] 小穹會變身嗎>< (小穹陣線),/bbs/Gossiping/M.1666270059.A.9A5.html
win7946,10/20,1,[問卦] 顯示卡的極限在哪,/bbs/Gossiping/M.1666270133.A.172.html
badjye911,10/20,7,[問卦] 萬國幫為什麼會內鬥？,/bbs/Gossiping/M.1666270161.A.98B.html
KotoriCute,10/20,27,[新聞] 英相特拉斯宣布請辭！史上最短命首相在,/bbs/Gossiping/M.1666270176.A.995.html
rathunter,10/20,74,[新聞] 蔡適應被爆天道盟精神領袖餐會 謝國樑：,/bbs/Gossiping/M.1666270249.A.2C9.html
smallgigi,10/20,10,Re: [新聞] 快新聞/史上最短命首相 英相特拉斯宣布辭,/bbs/Gossiping/M.1666270288.A.A94.html
KCKCLIN,10/20,5,Re: [新聞] 日圓對美元貶破150價位 1990年來首見,/bbs/Gossiping/M.1666269011.A.0A1.html
TPDC,10/20,5,[新聞] 學生不幸事件通報數5年飆升8倍 立委要教,/bbs/Gossiping/M.1666269147.A.801.html
lwhsien,10/20,5,Re: [新聞] 獨家｜父亡母失聯!19歲女大生打工養,/bbs/Gossiping/M.1666269164.A.DDB.html
jazz801030,10/20,3,[問卦] 面試被洗臉該怎麼調適,/bbs/Gossiping/M.1666269173.A.BE4.html
CREA,10/20,8,[新聞] 馬斯克證實將收購推特：覺得興奮但買貴了,/bbs/Gossiping/M.1666269176.A.A71.html
comecomebro,10/20,爆,[爆卦] 特拉斯辭職了,/bbs/Gossiping/M.1666269401.A.251.html
abiese05,10/20,4,[問卦] 剛剛板南線捷運上的女生好像很不舒服,/bbs/Gossiping/M.1666273536.A.3E3.html
goldenhill,10/20,6,[新聞] 無尾熊太挑食 舊金山飼養員煞費苦心,/bbs/Gossiping/M.1666273545.A.E5C.html
JETPOWER,10/20,32,[問卦] 有沒有真實人體展的八卦?,/bbs/Gossiping/M.1666273740.A.EAE.html
ai770116,10/20,23,[新聞] 影／俄羅斯妞懷孕吃冰遭阻　她怒：是孩子,/bbs/Gossiping/M.1666273889.A.9E8.html
qazStarStar,10/20,1,[問卦] 為啥統神永遠不失言?陽交大國動陣線,/bbs/Gossiping/M.1666273903.A.A3B.html
orze04,10/20,2,Re: [問卦] 為啥可以完全無恐懼從很高的地方往下跳?,/bbs/Gossiping/M.1666273918.A.1B9.html
Lineage097,10/20,4,[新聞] 若疫苗EUA遭廢止「高端仔」要補打？ 莊人,/bbs/Gossiping/M.1666273929.A.1C1.html
zephyr105,10/20,36,[新聞] 竹內結子逝2年！丈夫終於放下「骨灰秘密,/bbs/Gossiping/M.1666273969.A.838.html
pinson880207,10/20,11,[新聞] 特拉斯宣布辭去英國首相 上任不到50天史,/bbs/Gossiping/M.1666273974.A.095.html
jeff17,10/20,8,Re: [新聞] 黑白配質疑 柯文哲會鍾東錦強調分享經驗,/bbs/Gossiping/M.1666274071.A.B58.html
semih,10/20,65,[新聞] 李秉穎竟針對高端脫口這4字 郭正亮驚：有,/bbs/Gossiping/M.1666274319.A.559.html
whiteadam,10/20,7,[問卦] 請問高端賣了哪些國家?,/bbs/Gossiping/M.1666274434.A.E8E.html
wahaha23,10/20,3,[新聞] 英超》曼聯2-0勝熱刺　C羅替補不爽沒上,/bbs/Gossiping/M.1666269427.A.8D6.html
ezJapan,10/20,15,[新聞] 史上最強宇宙爆炸　24億光年外「伽瑪射線暴」震驚天文學家,/bbs/Gossiping/M.1666269498.A.026.html
a88241050,10/20,3,[問卦] 請問吸濕棒是什麼？,/bbs/Gossiping/M.1666269575.A.03B.html
herbert0716,10/20,3,[問卦] 芬蘭軍事強不強？,/bbs/Gossiping/M.1666269597.A.CD5.html
eric19860102,10/20,16,[問卦] Costco的保鮮膜是黑科技嗎？,/bbs/Gossiping/M.1666269631.A.874.html
Ommmmmm5566,10/20,3,[問卦] X光檢測流程是不是還能再改進？,/bbs/Gossiping/M.1666269637.A.865.html
DreamYeh,10/20,8,[問卦] 有沒有PS5跩得很的八卦,/bbs/Gossiping/M.1666269679.A.2D4.html
TimeEric,10/20,爆,[新聞] 快新聞/史上最短命首相 英相特拉斯宣布辭,/bbs/Gossiping/M.1666269714.A.173.html
smreignqrop,10/20,1,[問卦] 縣市長候選人又是女生又會大便還不是粉,/bbs/Gossiping/M.1666269745.A.AEB.html
qazStarStar,10/20,1,[問卦] 台陽交大很多外國人？ 統神國動陣線,/bbs/Gossiping/M.1666269746.A.13F.html
Howard61313,10/20,4,[問卦] 同梯一直想跟我談男用內衣褲，是想幹嘛,/bbs/Gossiping/M.1666274435.A.3B7.html
ubcs,10/20,73,[公告] -------八卦板主徵選報名截止線--------,/bbs/Gossiping/M.1666274499.A.8AC.html
became,10/20,21,[問卦] 您們都是用誰的照片當機車的擋泥板呢？,/bbs/Gossiping/M.1666274520.A.2FF.html
emilysun1224,10/20,2,Re: [問卦] 有沒有真實人體展的八卦?,/bbs/Gossiping/M.1666274632.A.944.html
jason486,10/20,3,[新聞] 獨/掏腰包負擔國人赴日PCR費用?高端「,/bbs/Gossiping/M.1666274857.A.655.html
wiejen,10/20,4,[新聞] 影／蔡英文卯足勁救林佳龍 已第十次到新,/bbs/Gossiping/M.1666274959.A.120.html
alexhsu0909,10/20,4,[問卦] 中共開戰前從台灣撤僑會發生什麼事？,/bbs/Gossiping/M.1666267573.A.269.html
ime5566,10/20,4,[問卦] 徐展元現在在幹嘛啊？,/bbs/Gossiping/M.1666267666.A.C89.html
eythans,10/20,1,Re: [新聞] 高端採購價一劑754元？　指揮中心：數字,/bbs/Gossiping/M.1666267674.A.DA1.html
RINPE,10/20,18,[問卦] 能住東京要住京都嗎？,/bbs/Gossiping/M.1666267710.A.72E.html
emperor,10/20,6,[問卦] 被斷手筋腳筋真的就廢了嗎?,/bbs/Gossiping/M.1666267722.A.548.html
winzip390,10/20,5,[問卦] 40歲的男生有辦法ㄧ天射精三次嗎？,/bbs/Gossiping/M.1666267790.A.643.html
louiskuo,10/20,44,[問卦] 原住民考大學加分35% 台大卻很少原住民,/bbs/Gossiping/M.1666267795.A.53E.html
e1447e,10/20,5,[問卦] 到2022了還會有懸案嗎？,/bbs/Gossiping/M.1666268056.A.412.html
STAV72,10/20,7,[新聞] 外資賣台積電續買聯電 今年賣超台股逾1,/bbs/Gossiping/M.1666268060.A.C45.html
pkuguy,10/20,XX,[新聞] 高虹安再爆違法兼職 柯建銘警告：妳不是,/bbs/Gossiping/M.1666268089.A.34F.html
fenway18,10/20,4,[新聞] 日圓對美元貶破150價位 1990年來首見,/bbs/Gossiping/M.1666268170.A.572.html
wakaura,10/20,17,[問卦] 該怎麼搭訕高中妹子?,/bbs/Gossiping/M.1666268351.A.77F.html
lh9059,10/20,5,[問卦] 高端戰士不是都死忠嗎？,/bbs/Gossiping/M.1666268496.A.E84.html
cychine,10/20,2,Re: [新聞] 高虹安再爆違法兼職 柯建銘警告：妳,/bbs/Gossiping/M.1666268554.A.DEB.html
twnndnpdnc,10/20,4,[問卦] 很多動保NGO是不是廢物阿？,/bbs/Gossiping/M.1666268556.A.633.html
chen0625,10/20,1,Re: [新聞] 限制餐廳外送和店內價一致 foodpanda不滿,/bbs/Gossiping/M.1666268682.A.2A9.html
pennyleo,10/20,7,Re: [新聞] 日圓對美元貶破150價位 1990年來首見,/bbs/Gossiping/M.1666268800.A.3A4.html
CTS2729,10/20,13,[問卦] 每個候選人都是炒米粉、火空肉、貢丸湯?,/bbs/Gossiping/M.1666268985.A.44A.html
KevinLow,10/20,3,"[問卦] 用""OO大人"" 稱呼自己老爸?",/bbs/Gossiping/M.1666266445.A.41C.html
TyuzuChou,10/20,3,[問卦] 台灣484該推廣居家辦公來提升生育率？,/bbs/Gossiping/M.1666266466.A.9D6.html
Dreampen,10/20,9,[問卦] 墜入愛河是敘事還是形容？,/bbs/Gossiping/M.1666266485.A.327.html
smallgigi,10/20,4,Re: [新聞] 5歲男童說：我前世是被燒死的女人！媽媽,/bbs/Gossiping/M.1666266566.A.597.html
jujang,10/20,3,[協尋] 10/17 約18:00-29 苗栗台61線108.4公里處北上側車道,/bbs/Gossiping/M.1666266652.A.515.html
tn00270144,10/20,1,Re: [問卦] 我就問，共軍怎麼登陸,/bbs/Gossiping/M.1666266941.A.EA7.html
bingoking,10/20,6,[問卦] 震撼彈！這是爽哥嗎?正在切雞雞手術,/bbs/Gossiping/M.1666267188.A.EE8.html
d995511,10/20,33,[問卦] 股票買40多萬賠20萬要認賠嗎,/bbs/Gossiping/M.1666267305.A.70A.html
turbomons,10/20,5,Re: [新聞] 5歲男童說：我前世是被燒死的女人！媽媽,/bbs/Gossiping/M.1666267316.A.CB0.html
cefywo,10/20,7,[問卦] 做好事有好報，發廢文呢？,/bbs/Gossiping/M.1666267356.A.820.html
poeta,10/20,12,[問卦] 要怎麼獲得同志友善旅館的認證,/bbs/Gossiping/M.1666267449.A.92C.html
kinve1014,10/20,1,[問卦] 看見男同事開箱跳蛋 該？,/bbs/Gossiping/M.1666267452.A.ED5.html
thewtf,10/20,3,[問卦] 玩模型的小孩不會變壞（圖,/bbs/Gossiping/M.1666267520.A.3E0.html
lwswjs,10/20,35,[新聞] 女友是詐騙成員！北市警「曝警動向」教洗,/bbs/Gossiping/M.1666267564.A.389.html
kimura0701,10/20,9,[問卦] 喜歡瘋狂做愛的人有什麼特徵,/bbs/Gossiping/M.1666270408.A.073.html
free112136,10/20,6,[新聞] 鄭寶清批藍綠皆選前賺人民幣 選舉才提抗,/bbs/Gossiping/M.1666270463.A.6C2.html
dennistao,10/20,3,[問卦] 欸欸不要騙了啦你去看啦啦隊不是看球賽吧,/bbs/Gossiping/M.1666270476.A.911.html
lovetina,10/20,1,Re: [問卦] 很多動保NGO是不是廢物阿？,/bbs/Gossiping/M.1666270513.A.73B.html
higamanami,10/20,7,Re: [爆卦] 特拉斯辭職了,/bbs/Gossiping/M.1666270528.A.6EE.html
hebeshaman,10/20,3,[問卦] 為啥可以完全無恐懼從很高的地方往下跳?,/bbs/Gossiping/M.1666270615.A.309.html
heero0333,10/20,39,[問卦] 日圓換在0.3 0.26的人 現在在想什麼 掛??,/bbs/Gossiping/M.1666270647.A.DEC.html
lovea,10/20,X1,[問卦] 蒼藍鴿：高端抗體生成高，保護力無庸置疑,/bbs/Gossiping/M.1666270770.A.8A5.html
oopalmoo,10/20,1,[問卦] 疫情趨緩，沒有補助了怎辦？,/bbs/Gossiping/M.1666271073.A.295.html
callhek,10/20,3,Re: [問卦] 星艦戰將洗澡有什麼魅力,/bbs/Gossiping/M.1666271093.A.0DC.html
flower42,10/20,9,[問卦] 八方雲集哪種鍋貼好吃？,/bbs/Gossiping/M.1666271103.A.9B4.html
worshipyou,10/20,1,[問卦] 交友軟體配對成功又不講話就離開的,/bbs/Gossiping/M.1666271180.A.55C.html
GETpoint,10/20,26,[新聞] 影／史瓦帝尼國王訪台 將辦投資招商說明,/bbs/Gossiping/M.1666271279.A.EEA.html
algebraic,10/20,8,[問卦] 特斯拉怎麼了?,/bbs/Gossiping/M.1666271475.A.2FE.html
sakeya,10/20,6,[問卦] 蕭家小館還是一堆人在排隊嗎??,/bbs/Gossiping/M.1666271577.A.ADA.html
oz5566,10/20,9,[問卦] 怎麼會有白癡覺得封鎖台灣是軍艦圍住,/bbs/Gossiping/M.1666271668.A.4EC.html
JetChen,10/20,12,[問卦] 太陽穴要怎麼連開兩槍,/bbs/Gossiping/M.1666271764.A.F1A.html
ffdqfe,10/20,1,[問卦] 新養的小母狗會叫我爸爸耶,/bbs/Gossiping/M.1666271829.A.90C.html
nk11208z,10/20,3,[問卦] 平常有正職，下班跑外送兼職，這樣違法了,/bbs/Gossiping/M.1666265264.A.C05.html
waymayday,10/20,40,[新聞] 得知「人質遭挾持」柯文哲決定赴萬華分,/bbs/Gossiping/M.1666265309.A.045.html
mengjia0720,10/20,23,[問卦] 最好用的忍術？,/bbs/Gossiping/M.1666265467.A.F34.html
med5566,10/20,11,[問卦] 董神被拍到闖紅燈會怎麼覆盤,/bbs/Gossiping/M.1666265490.A.F8D.html
qq326,10/20,9,[問卦] 請問台中的大大都去哪看電影,/bbs/Gossiping/M.1666265604.A.823.html
eagleofsouth,10/20,5,Re: [新聞] 5歲男童說：我前世是被燒死的女人！媽媽,/bbs/Gossiping/M.1666265624.A.BC1.html
gaiaesque,10/20,5,[問卦] 學妹舔舌頭代表什麼 o'_'o,/bbs/Gossiping/M.1666266027.A.86C.html
cake51640,10/20,3,[問卦] 養車有多難,/bbs/Gossiping/M.1666266160.A.E40.html
megalord,10/20,1,Re: [新聞] 5歲男童說：我前世是被燒死的女人！媽媽,/bbs/Gossiping/M.1666266239.A.126.html
mystage,10/20,6,Re: [新聞] 俄改打另類「能源戰」　狂攻電廠讓烏國斷,/bbs/Gossiping/M.1666266293.A.014.html
RINPE,10/20,4,[問卦] 側臉好看的人,/bbs/Gossiping/M.1666270792.A.B3B.html
kevinwphard,10/20,7,[問卦] 除了杰哥之外台灣有什麼文化輸出,/bbs/Gossiping/M.1666270951.A.56A.html
ncc5566,10/20,5,[問卦] 台北女子圖鑑這集為什麼沒有打炮?,/bbs/Gossiping/M.1666270978.A.2A4.html
haha1230,10/20,6,[問卦] 資策會教研所新上線的網站給幾分,/bbs/Gossiping/M.1666270999.A.BA1.html
jl834021,10/20,爆,Re: [問卦] 周慧敏頂在哪,/bbs/Gossiping/M.1666271036.A.2C4.html
baby41414,10/20,2,[問卦] 被小黃惡意逼車 事後檢舉竟然未舉發,/bbs/Gossiping/M.1666271053.A.0CE.html
oz5566,10/20,13,Re: [問卦] 我就問，共軍怎麼登陸,/bbs/Gossiping/M.1666271053.A.1B0.html
Dawson5566,10/20,爆,[爆卦] 沈慧虹小智花錢買#新竹改變大聲說！,/bbs/Gossiping/M.1666271908.A.8A8.html
l42857,10/20,1,Re: [問卦] 中共黨員為何要投票給習近平?,/bbs/Gossiping/M.1666271960.A.A61.html
DreamYeh,10/20,2,Re: [問卦] 除了杰哥之外台灣有什麼文化輸出,/bbs/Gossiping/M.1666271997.A.E33.html
nothisman,10/20,爆,[新聞] 爬山途中遇襲！日男嘶吼猛踹擊退巨大黑,/bbs/Gossiping/M.1666272035.A.E64.html
arch1212,10/20,62,[問卦] 姓蕭的該取什麼名好呢?,/bbs/Gossiping/M.1666266305.A.81C.html
geniustu,10/20,9,[問卦] 72騎士團中的女粉在想什麼？,/bbs/Gossiping/M.1666266405.A.983.html
f544544f,10/20,99,[新聞] 鍾東錦稱有1億元很正常 意外引起竹北人,/bbs/Gossiping/M.1666263834.A.DBA.html
Lineage097,10/20,6,[問卦] AI有辦法擬真照片嗎？,/bbs/Gossiping/M.1666263876.A.C7F.html
TyuzuChou,10/20,32,[新聞] 南韓「戀童淫魔」繼續關還不夠！檢方考慮,/bbs/Gossiping/M.1666264262.A.352.html
Goldpaper,10/20,40,[問卦] 阿滴志棋這次會拍年輕人返鄉投票嗎？,/bbs/Gossiping/M.1666264355.A.924.html
losel,10/20,爆,[新聞] 快訊／收賄數百萬涉貪洗錢4重罪　北市刑,/bbs/Gossiping/M.1666264361.A.39C.html
tmlisgood,10/20,8,[新聞] 天上相聚志村健 81歲諧星仲本工事車禍身,/bbs/Gossiping/M.1666264520.A.14C.html
ethanwu0414,10/20,4,Re: [新聞] 獨家｜父亡母失聯!19歲女大生打工養自己,/bbs/Gossiping/M.1666264578.A.F2E.html
biorgan,10/20,1,Re: [新聞] 高端未獲WHO認證 王必勝：俄羅斯的也還,/bbs/Gossiping/M.1666264588.A.9C1.html
zausa,10/20,1,Re: [新聞] 限制餐廳外送和店內價一致 foodpanda不滿,/bbs/Gossiping/M.1666264644.A.192.html
leegogo,10/20,37,Re: [新聞] 5歲男童說：我前世是被燒死的女人！媽媽,/bbs/Gossiping/M.1666264690.A.5C8.html
qq326,10/20,3,[問卦] 請問這樣是有病嗎,/bbs/Gossiping/M.1666264742.A.3EC.html
ams9,10/20,26,[新聞] 俄改打另類「能源戰」　狂攻電廠讓烏國斷,/bbs/Gossiping/M.1666264771.A.3B9.html
Mayinggo,10/20,X4,[新聞] 柯P急奔萬華被罵！四叉貓幫澄清 卻吐「這,/bbs/Gossiping/M.1666264912.A.83D.html
saiulbb,10/20,4,[問卦] 基層公務員兼職沒保勞健保就不會被抓吧？,/bbs/Gossiping/M.1666265215.A.489.html
Landau,10/20,12,Re: [新聞] 被問座車闖紅燈「您不在車上？」　陳時中,/bbs/Gossiping/M.1666265245.A.714.html
simoncha,10/20,1,[問卦] 如何當好人質,/bbs/Gossiping/M.1666265260.A.0AB.html
LoveMakeLove,10/20,X1,[新聞]美海軍高官示警中國可能提早攻台 陳明通：,/bbs/Gossiping/M.1666262731.A.DD4.html
llgod,10/20,3,[問卦] 天氣冷大家會賴床嗎？,/bbs/Gossiping/M.1666262735.A.6F2.html
MatheFuck,10/20,70,[問卦] 溫體牛肉也太好吃！,/bbs/Gossiping/M.1666262823.A.F4C.html
gogoto990,10/20,7,[問卦] 台灣有那麼多溫體牛？,/bbs/Gossiping/M.1666263031.A.67A.html
chengyou66,10/20,10,[問卦] 全身麻醉  多久後全退散?,/bbs/Gossiping/M.1666263175.A.E0E.html
harkk2001,10/20,5,Re: [問卦] 台股近日殺聲隆隆 謝金河：總統問「股市,/bbs/Gossiping/M.1666263210.A.1C1.html
yoyodiy,10/20,6,[問卦] 鴨子和檸檬樹是不是台灣90年代最上口歌?,/bbs/Gossiping/M.1666263400.A.6E9.html
tg9456,10/20,3,Re: [問卦] 找正妹做美甲能碰到正妹的手嗎,/bbs/Gossiping/M.1666263404.A.929.html
gn01948540,10/20,7,Re: [新聞] 高端未獲WHO認證 王必勝：俄羅斯的也還,/bbs/Gossiping/M.1666263421.A.52C.html
tsaotsaogh,10/20,14,[問卦] 為什麼世紀帝國2的遺跡會生黃金?,/bbs/Gossiping/M.1666263461.A.C6F.html
david0426,10/20,7,[問卦] 在搭電車 有個短髮美女偷我晶片,/bbs/Gossiping/M.1666263590.A.36E.html
